Month,Aircraft,Passenger,Freight
2020-01-01,195.21,24.83,112.12
2020-02-01,185.93,24.07,106.33
2020-03-01,142.07,14.96,76.8
2020-04-01,2.92,0.01,7.28
2020-05-01,12.4,0.6,19.17
2020-06-01,50.5,3.86,55.85
2020-07-01,56.45,4.04,68.83
2020-08-01,64.53,5.57,75.78
2020-09-01,86.01,7.79,95.2
2020-10-01,106.45,10.32,110.51
2020-11-01,115.6,12.52,101.07
2020-12-01,136.05,14.44,107.03
2021-01-01,143.38,15.23,101.7
2021-02-01,136.26,15.44,99.36
